#peak_num	name	confidence	molecular ion
2542	Caffeine	2	194
2663	Isoquinoline, 1,2,3,4-tetrahydro-1-(2-imidazolin-2-yl)-1,3,3-trimethyl-	0	243
3033	Benzamide, N-(2-cyanocyclopent-1-enyl)-3,4-dimethoxy-	0	272
