Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
1417,"Fumaric acid, ethyl 3,4,5-trichlorophenyl ester",322,910,2648.76,2.132,35237
1432,2-Methoxyformanilide,151,780,2690.74,2.449,16625
1439,"1,3-Benzenediol, 4-ethyl-",138,775,2701.23,2.132,12488
1440,"Ethanone, 1-(1a,2,3,5,6a,6b-hexahydro-3,3,6a-trimethyloxireno[g]benzofuran-5-yl)-",222,688,2708.23,2.277,23629
1442,"6-(3,3-Dimethyl-oxiran-2-ylidene)-5,5-dimethyl-hex-3-en-2-one",194,649,2722.22,2.831,8411
1447,10-Methyldodecan-5-olide,212,621,2736.21,2.31,11593
1452,"Phosphoric acid, dipropyl nonyl ester",308,634,2757.2,2.402,14071
1464,Trifluoromethyldifluorophosphine,138,858,2788.68,2.284,20901
1485,Triethyl citrate,276,920,2834.15,2.112,692472
1598,n-Hexadecanoic acid,256,843,3166.46,1.617,15629
1603,2-Azafluorenone,181,664,3197.95,2.66,8434.3
1608,n-Decanoic acid,172,847,3239.92,1.63,5583.6
1644,"Hexadecenoic acid, Z-11-",254,926,3407.83,1.868,102216
1871,"4,8,12,16-Tetramethylheptadecan-4-olide",324,794,3859.07,1.267,7847.3
2400,BOSCALID,342,845,4159.9,2.409,7066.3
