Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
959,"2-Pyrazoline, 3-ethyl-1-isopropyl-",140,698,1504.91,2.376,14129
973,"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-",138,887,1522.4,2.059,44759
984,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",152,936,1536.4,2.059,783700
986,"Benzene, 1,2-dimethoxy-",138,934,1539.89,2.158,29714
993,"2H-Pyran-2-one, tetrahydro-4-(2-methyl-1-propen-3-yl)-",154,769,1557.38,1.769,77778
995,"Phenol, 2,5-dimethyl-",122,838,1557.38,1.94,12417
1004,"2-Pentanol, 3-chloro-2-methyl-",136,,1574.87,2.092,18131
1035,2-Methyl-2-decanol,172,664,1606.36,2.112,15040
1036,"1,4-Cyclohexanedione, 2,2,6-trimethyl-",154,932,1606.36,2.171,81562
1052,"Bicyclo[3.1.0]hex-3-en-2-one, 4-methyl-1-(1-methylethyl)-",150,864,1620.35,1.901,104939
1066,"ñ-á,á-Dimethyl-ç-(hydroxy-methyl)-ç-butyrolactone",144,746,1637.84,2.402,8133.2
1073,Lilac aldehyde A,168,669,1648.33,2.006,38202
1078,"3,5-Hexadien-2-ol, 2-methyl-",112,628,1651.83,1.901,54986
1092,"2-Cyclohexen-1-one, 4-(1-methylethyl)-",138,724,1665.82,1.987,12983
1103,2-Methoxy-6-methylphenol,138,864,1679.81,2.026,6547.3
1116,"1,1-Cyclohexanedimethanol",144,763,1700.8,1.993,15242
1129,"2(5H)-Furanone, 5-(2-methyl-2-propenyl)-",138,779,1721.79,2,8172.2
1135,"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-, (1S)-",150,872,1732.28,2.046,13884
1140,"1-Cyclohexen-1-ol, 2,6-dimethyl-, acetate",168,759,1739.28,1.967,23964
1147,2-Nonanone,142,665,1753.27,2.204,10282
1154,"Benzene, (ethenyloxy)-",120,776,1760.27,2.086,48866
1168,"2,6-Octadiene-1,8-diol, 2,6-dimethyl-",170,721,1784.75,1.874,23287
1173,"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",139,817,1791.75,2.152,128215
1189,"Bicyclo[2.2.1]heptan-2-ol, 2-allyl-1,7,7-trimethyl-",194,744,1812.74,2.02,99406
1193,"Cyclopropanemethanol, à-methyl-à-propyl-",128,556,1816.24,1.987,19405
1199,"2-Butanone, 4-phenyl-",148,851,1823.23,2.145,22799
1213,"Hexanoic acid, tridec-2-ynyl ester",294,827,1844.22,2.059,32379
1215,Ethosuximide,141,789,1847.72,2.218,23495
1224,Carvenone,152,699,1861.71,1.94,4726.7
1227,"1H-Pyrrole-2,5-dione, 3-ethenyl-4-methyl-",137,763,1865.21,2.29,65637
1242,"Bicyclo[2.2.1]heptane-2,5-dione, 1,7,7-trimethyl-",166,826,1882.7,2.31,5995
1279,"1,4-dihydroxy-p-menth-2-ene",170,639,1938.67,1.94,10412
1280,"Pentane, 1-(ethenyloxy)-",114,668,1938.67,2.554,6482.4
1286,"Phenol, 2-methyl-5-(1-methylethyl)-",150,821,1956.16,1.888,38221
1294,5H-1-Pyrindine,117,907,1966.65,2.607,20163
1308,"2,5-Diethylphenol",150,770,1984.14,1.921,14752
1309,Levodopa,197,653,1984.14,1.94,10041
1311,Isobutyl-2-heptenone,168,677,1984.14,1.987,33454
1331,4-Hydroxyhistamine,127,678,2008.63,2.303,13616
1339,2-Methoxy-4-vinylphenol,150,865,2015.62,2.125,8670.1
1356,"Cyclohexanecarboxylic acid, 3-fluorophenyl ester",222,740,2036.61,2.277,19601
1392,"1,3-Dioxolane, 4,5-diethenyl-2,2-dimethyl-",154,641,2075.09,2.284,8558.3
1397,6-Hydroxy-9-oxa-bicyclo[3.3.1]nonan-3-one,156,709,2078.59,2.27,19196
1412,"Cyclohexane, 1,1,3,5-tetramethyl-, trans-",140,690,2096.08,2.171,8372.3
1417,Lilac aldehyde D,168,659,2099.57,2.277,4630.1
1451,"1-Butanone, 2-chloro-3-methyl-1-[4-(1-methylethyl)phenyl]-",238,779,2138.05,2.422,7018.3
1455,"Cyclohexanemethanol, à,à,4-trimethyl-",156,693,2145.05,2.383,35384
1465,3-Isopropoxy-4-nitrotoluene,195,526,2159.04,2.158,4325.3
1471,3-Decen-5-one,154,789,2173.03,1.822,46883
1476,"2-Octanol, 2-methyl-6-methylene-",156,628,2176.53,2.132,26846
1503,3-Acetamidofuran,125,718,2218.51,2.178,439673
1511,"Indoline, hexahydro-5-methoxy-, cis-",155,556,2225.5,2.218,8497.2
1512,"Thiophene-2-carboxylic acid, 2,5-dichlorophenyl ester",272,870,2229,2.581,8803.8
1518,Methyleugenol,178,767,2239.49,2.105,5045
1525,"trans-1,10-Dimethyl-trans-9-decalinol",182,718,2253.49,1.894,7836.1
1545,8-Nonyn-1-ol tetrahydropyran-2-yl ether,224,624,2298.96,1.762,25145
1559,"4,4'-Biscyclohexanone, 2,2',6,6'-tetramethyl-",250,707,2323.45,1.861,9447.3
1582,"4,4'-Biscyclohexanone, 2,2',6,6'-tetramethyl-",250,746,2358.43,1.888,13138
1598,4-Methoxybenzoyl isothiocyanate,193,919,2389.91,2.323,7240.2
1637,Apocynin,166,796,2456.37,2.501,8492.3
1658,"1,1-Divinyl-1-silacyclobutane",124,704,2487.85,2.416,11769
1665,"1-Oxa-3-azaspiro[4.5]decan-2-one, 3-cyclohexyl-4-hydroxy-4-methyl-",267,817,2501.84,2.581,53086
1683,"1-Decen-4-yne, 2-nitro-",181,725,2526.33,2.066,31482
1699,"2,5-Furandione, 3-(2-decenyl)dihydro-",238,653,2540.32,2.31,11011
1709,"1,7-Dioxaspiro[5.5]undec-2-ene",154,712,2557.81,2.528,334576
1712,"Cyclohexene, 2-ethenyl-1,3,3-trimethyl-",150,602,2561.31,2.501,21234
1714,"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-",180,810,2568.31,2.462,30352
1716,"Benzoic acid, 2,5-dihydroxy-, methyl ester",168,801,2571.8,2.343,11502
1717,"2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-",144,927,2571.8,2.831,25406
1726,"7-Hydroxy-2,4,6-trimethyl-8-oxazol-5-yloct-2-enoic acid, methyl ester",281,686,2582.3,2.31,12302
1727,"Fructofuranose, 2,6-anhydro-1,3,4-tri-O-methyl-, á-d-",204,713,2582.3,2.561,58744
1737,1-Ethyl-1-cyclopentyloxy-1-silacyclopentane,198,615,2596.29,1.954,13406
1742,"2(3H)-Furanone, dihydro-5,5-dimethyl-4-(3-oxobutyl)-",184,751,2603.29,2.548,26212
1743,"1H-2-Benzopyran-1-one, 3,4-dihydro-8-hydroxy-3-methyl-",178,818,2603.29,2.561,10784
1746,"Cyclohexene, 3-(iodomethyl)-",222,741,2606.78,2.178,103020
1753,"2-Butanone, 4-(4-hydroxyphenyl)-",164,739,2620.78,2.501,11105
1761,"3',5'-Dimethoxyacetophenone",180,717,2638.27,2.363,9411.3
1764,"2-(3-Carbethoxy-1-hydroxy-4-methylcyclohex-3-enyl)-1,3-dithiane",302,646,2641.76,2.383,11445
1768,"Fumaric acid, ethyl 3,4,5-trichlorophenyl ester",322,893,2648.76,2.125,180353
1774,"(2Z,4E)-3,7,11-Trimethyl-2,4,10-dodecatriene",206,744,2655.76,2.237,40891
1776,"2,3,4-Trimethoxydibenzofuran",258,641,2659.25,2.323,37819
1790,"Bicyclo[2.2.1]heptane-1-carboxylic acid, 4,7,7-trimethyl-3-oxo-, (3,4-difluorophenyl)amide",307,711,2683.74,2.198,9747.2
1806,5-t-Butyl-4-methylimidazole,138,803,2704.73,2.132,83380
1809,"Ethanone, 1-(1a,2,3,5,6a,6b-hexahydro-3,3,6a-trimethyloxireno[g]benzofuran-5-yl)-",222,739,2711.72,2.284,99983
1817,"Propan-2-ol, 1-(2-isopropyl-5-methylcyclohexyloxy)-3-(4-morpholyl)-",299,609,2722.22,2.607,32461
1818,Dihydrojasmone,166,724,2725.72,2.812,31080
1826,"Fumaric acid, isohexyl 2,3,5-trichlorophenyl ester",378,605,2739.71,2.29,70321
1830,"Butylphosphonic acid, 2-cyclohexylethyl propyl ester",290,652,2743.21,2.185,11385
1831,"Phenol, 3,4,5-trimethoxy-",184,880,2746.7,2.594,47531
1838,"2H-Pyran, tetrahydro-4-methyl-2-(2-methyl-1-propenyl)-",154,589,2757.2,2.838,16342
1842,"Hexanoic acid, tridec-2-ynyl ester",294,662,2760.7,2.389,61214
1845,"Butanoic acid, tridec-2-ynyl ester",266,707,2771.19,1.848,123661
1851,"Cyclododecane, ethyl-",196,628,2785.18,2.422,8613
1853,Geranic acid,168,771,2788.68,2.284,319418
1856,"1,9,12,15-Octadecatetraene, 1-methoxy-",276,687,2792.18,1.881,98804
1863,"3-Buten-2-one, 4-(2,5,5-trimethyl-3,8-dioxatricyclo[5.1.0.0(2,4)]oct-4-yl)-, [1à,2à,4à(E),7à]-",222,692,2795.68,2.218,38969
1887,"Spiro(1,3-dioxolane)-2,3'-(pregnan-12'-one, 18',20'-diacetoxy-)",476,612,2830.66,2.251,31976
1892,"2-Cyclohexen-1-one, 3,5,5-trimethyl-4-(3-oxo-1-butenyl)-",206,809,2837.65,2.27,25676
1906,"Benzaldehyde, 4-hydroxy-3,5-dimethoxy-",182,828,2855.14,2.746,25378
1910,"1,10-Decanedione, 1,10-di-1-naphthyl-",422,667,2858.64,2.772,73804
1916,10-Methyl-8-tetradecen-1-ol acetate,268,675,2869.13,2.376,22291
1917,Veratril,330,923,2869.13,2.501,55596
1948,2-Acetamido-3-hydroxypyridine,152,710,2900.62,2.825,7905.1
1952,"Cyclopentanone, dimethylhydrazone",126,682,2904.11,2.422,81175
1954,"1,5,9,9-Tetramethyl-2-oxatricyclo[6.4.0.0(4,8)]dodecane",222,670,2904.11,2.587,27003
1960,2-[(3-Methoxybenzylidene)hydrazino]-2-oxo-N-propylacetamide,263,655,2911.11,2.548,9714.7
1986,"Cyclopenta[c]pentalen-3(3aH)-one, octahydro-1,2,3a,6-tetramethyl-",220,641,2949.59,2.515,12229
1996,"Benzoic acid, 2,4-dihydroxy-3,6-dimethyl-, methyl ester",196,726,2960.08,2.363,58097
2032,"Ethanone, 1-(4-hydroxy-3,5-dimethoxyphenyl)-",196,726,3012.55,2.686,32235
2043,"Benzenamine, 2,5-dihydromethyl-",153,680,3026.54,2.158,30128
2088,"Butylphosphonic acid, hexyl propyl ester",264,597,3079.01,2.686,14544
2105,"5H-Furo[2,3-c]pyran-3-carbonitrile, 2-amino-5,5-dimethyl-",192,681,3107,3.333,5964
2109,"Benzenamine, 2,4,6-trimethyl-3-nitro-",180,685,3113.99,2.33,46331
2120,"2-Cyclohexen-1-one, 4-hydroxy-3,5,6-trimethyl-4-(3-oxo-1-butenyl)-",222,861,3127.99,2.534,43197
2123,"2,5,5,8a-Tetramethyl-6,7,8,8a-tetrahydro-5H-chromen-3-one",208,775,3131.48,2.66,13419
2136,"1,3-Isobenzofurandione, 4,5,6,7-tetrahydro-4,7-dimethyl-",180,714,3159.47,2.554,11298
2151,"2-Naphthalenemethanol, decahydro-à,à,4a-trimethyl-8-methylene-, [2R-(2à,4aà,8aá)]-",222,741,3190.95,2.178,32920
2158,"3,4-Dimethoxybenzaldehyde oxime",181,665,3197.95,2.653,117431
2165,"1-(4-Chloro-phenyl)-3-(3-cyano-4,5,6,7-tetrahydro-benzo[b]thiophen-2-yl)-urea",331,508,3208.44,2.501,5126.4
2172,"1,3-Cyclopentanedione, 2,4-dimethyl-",126,748,3229.43,3.194,36371
2182,"1-(2,4-Dihydroxybenzoyl)-3-ethyl-5-trifluoromethyl-5-hydroxy-2-pyrazoline",318,730,3253.91,2.237,12602
2227,"Hexadecenoic acid, Z-11-",254,947,3411.32,1.855,407415
2263,Scopoletin,192,881,3484.78,2.845,24632
2323,Oxybenzone,228,696,3582.73,2.112,10496
2333,"Benzene, [(methylsulfonyl)methyl]-",170,974,3596.72,2.02,141286
2352,"4-Trifluoromethylbenzoic acid, 3,5-difluorophenyl ester",302,745,3631.7,1.604,17030
2373,"4-(3-Hydroxy-2,6,6-trimethylcyclohex-1-enyl)pent-3-en-2-one",222,615,3656.18,2.178,17595
2383,"Phenethylamine, 3-benzyloxy-2-fluoro-á-hydroxy-",261,789,3666.68,1.868,11518
2612,"2',3'-O-p-Anisylideneguanosine",401,596,3848.57,1.914,16779
2634,"[1,1'-Biphenyl]-2,3'-diol, 3,4',5,6'-tetrakis(1,1-dimethylethyl)-",410,675,3862.57,1.261,28300
2758,"2(1H)-Pyrimidinethione, 4-amino-",127,742,3922.03,1.802,28940
2863,"Azacyclodecan-2,7-dione",169,546,3967.51,1.327,9664.6
3091,"Pregna-5,16-dien-20-one, 3-(acetyloxy)-, (3á)-",356,543,4054.96,1.954,3946
3388,BOSCALID,342,679,4159.9,2.429,21369
3594,Octadecanal,268,905,4257.84,1.492,37881
1464,"Hexanoic acid, tridec-2-ynyl ester",294,701,2159.04,2.092,41317
3288,Squalene,410,918,4121.42,1.353,1215701
996,"Pyrollidine, 2,5-bis(imino)-",97,650,1557.38,2.211,66159
1007,"Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-",138,895,1581.87,1.987,109192
1253,"1,4-dihydroxy-p-menth-2-ene",170,872,1903.69,1.934,87508
1368,"Cyclohexene, 2-butyl-1,3,3-trimethyl-",180,800,2047.1,2.059,33005
1640,"2,2-Dimethylpropanoic acid, tridec-2-ynyl ester",280,672,2463.37,2.152,43446
2937,"Phenethylamine, 3,4,5-trimethoxy-à-methyl-",225,625,3995.49,1.841,33774
