Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
256,"2-Butene, 1-bromo-3-methyl-",148,711,623.418,1.406,61566
263,Maleic anhydride,98,702,630.414,1.782,36023
299,4-Benzyloxy-3-(1-methoxyethoxy)-butan-2-ol,254,576,658.398,1.247,7850.1
332,Maleic anhydride,98,932,689.88,2.198,29184
581,"Pentane, 2-chloro-4-methyl-",120,743,980.214,1.505,9546.5
619,Furan,68,816,1039.68,1.98,100006
627,3-Octanone,128,849,1053.67,1.544,45353
638,"Cyclopentene, 3-propyl-",110,777,1064.17,1.907,51119
652,"1-Penten-3-one, 2,4-dimethyl-",112,855,1085.15,2.006,4774.5
656,"2-Pyrazoline, 1-methyl-4-propyl-",126,818,1088.65,1.822,18376
662,"Methanamine, N-heptylidene-",127,675,1099.15,2.092,13078
696,2-Bromononane,206,758,1148.12,2.317,14063
737,"1-Butene, 2,3,3-trimethyl-",98,770,1190.09,1.874,15379
753,"Cyclohexanone, 2,2,6-trimethyl-",140,730,1207.58,1.696,11117
757,2-Acetyl-5-methylfuran,124,754,1214.58,2.026,21230
759,"2H-Pyran-2-one, 5,6-dihydro-",98,859,1218.08,2.099,40960
767,"3-Cyclohexen-1-one, 3,5,5-trimethyl-",138,864,1225.07,1.736,69842
774,4-Oxopentanethioic acid,132,883,1239.07,2.086,62640
775,Benzeneacetaldehyde,120,882,1239.07,2.125,117379
798,1-Ethyl-2-methylcyclohexanol,142,597,1274.05,1.69,4282.7
804,"Phenol, 3-methyl-",108,854,1277.54,1.934,47699
811,"1H-Pyrazole, 4,5-dihydro-5,5-dimethyl-4-isopropylidene-",138,657,1284.54,1.782,26266
835,"2-Furanmethanol, 5-ethenyltetrahydro-à,à,5-trimethyl-, cis-",170,915,1319.52,1.591,16835
844,2-Azabicyclo[2.2.1]heptane,115,862,1337.01,2.508,13920
847,"3-Heptanone, 5-ethyl-4-methyl-",156,977,1340.51,1.505,35275
854,"1,2,4-Triazin-3-amine, 5,6-dimethyl-",124,756,1354.5,2.211,14469
867,cis-Linaloloxide,170,915,1364.99,1.63,85667
875,"Phenol, 2-methoxy-",124,943,1375.49,2.072,460556
907,3-Methyl-3-cyclohexen-1-one,110,680,1424.46,1.762,15890
911,"dl-2,6-Diamino-4-hexynoic acid",142,607,1427.96,2.079,25205
915,"9-Oxabicyclo[3.3.1]nonan-2-one, 6-hydroxy-",156,654,1431.46,1.815,55579
924,"Bicyclo[8.2.0]dodecane, 11,11-dimethyl-",194,758,1445.45,2.079,7225.9
925,"2,3-Dimethyl-4-hydroxy-2-butenoic lactone",112,946,1445.45,2.449,6735.3
947,"Cyclopentanone, 2,2,4-trimethyl-",126,807,1483.93,2.567,14227
