Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
576,Proximpham,192,976,976.716,1.703,865304
625,"2,4-Dihydroxy-2,5-dimethyl-3(2H)-furan-3-one",144,942,1036.18,1.683,98637
691,"1,2-Cyclohexanedione",112,810,1102.64,2.066,14665
778,"1H-Imidazole, 1-acetyl-",110,657,1169.11,2.231,97775
1290,"ñ-á,á-Dimethyl-ç-(hydroxy-methyl)-ç-butyrolactone",144,754,1637.84,2.389,16590
1305,Vinyl trans-cinnamate,174,784,1648.33,2.119,154777
1384,(+)-Borneol,154,788,1718.29,1.848,57856
1471,2-Coumaranone,134,890,1798.75,2.482,15250
1482,"Bicyclo[2.2.1]heptan-2-ol, 2-allyl-1,7,7-trimethyl-",194,690,1805.74,1.973,14201
1484,Isophthalaldehyde,134,948,1805.74,2.521,102118
1565,"Phenol, 3-propyl-",136,922,1865.21,1.947,114847
1619,"5,7-Octadien-2-one, 3-acetyl-",138,684,1896.69,2.092,49102
1660,4-Methylcoumarine-7-cinnamate,306,759,1931.67,2.145,28212
1704,"Pregnane, 20-[5-methyl-2-oxanyl]-",386,754,1970.15,2.35,8497.5
1722,Ethyl-2-benzofuran,146,699,1987.64,2.165,17327
1753,"Cyclohexanone, 2-isopropyl-2,5-dimethyl-",168,727,2019.12,2.171,27398
1756,"Decanoic acid, methyl ester",186,877,2022.62,1.544,69748
1770,1-Butoxy-2-methyl-2-butene (Z)-,142,632,2029.61,2.178,59767
1806,"(+-)-3-hydroxybutyric acid, acetate",146,868,2064.59,1.987,3895232
1830,"Benzene, (2-methyl-1-methylenebutyl)-",160,643,2085.58,2.158,60627
1904,"4,4'-Dimethylbicyclohexyl-3,3'-diene-2,2'-dione",218,712,2148.55,2.125,32087
1910,"3-Benzofuranmethanol, 2,3-dihydro-3-methyl-",164,620,2152.04,2.323,8477.3
1974,2-Methyl-5-phenyltetrazole,160,790,2201.02,2.482,25983
2107,"1,6-Octadiene, 3,7-dimethyl-",138,735,2316.45,2.594,57844
2150,"2-Propenoic acid, 3-(2-hydroxyphenyl)-, (E)-",164,913,2344.43,2.818,91122
2183,"Ethanone, 1,1'-(1,4-phenylene)bis-",162,869,2365.42,2.455,45424
2288,"Cyclopentanecarboxylic acid, 2-hydroxy-1-(2-propenyl)-, methyl ester, cis-",184,702,2445.88,2.237,32443
2414,"7-Hydroxy-2,4,6-trimethyl-8-oxazol-5-yloct-2-enoic acid, methyl ester",281,573,2540.32,2.31,24799
3139,"Phenol, 2,5-bis(1-methylethyl)-",178,569,3131.48,2.264,12089
3182,"Cyclopentane, 1-methyl-2-(2-propenyl)-, trans-",124,722,3173.46,3.293,26796
3376,"Hexadecenoic acid, Z-11-",254,949,3411.32,1.888,1689610
3811,"2H-Pyran, tetrahydro-4-methyl-2-(2-methyl-1-propenyl)-",154,694,3715.65,2.277,73398
3872,"1-(3,4-Dimethoxy-phenyl)-2-thiocyanato-ethanone",237,652,3740.14,1.914,31307
3998,"2(1H)-Naphthalenone, 7-ethynyl-4a,5,6,7,8,8a-hexahydro-1,4a-dimethyl-, (1à,4aá,7á,8aà)-",202,505,3785.61,1.591,14920
4243,"1-Oxaspiro[4.4]non-8-ene-4,7-dione, 9-hydroxy-6-(3-methyl-2-butenyl)-2-(1-methylethyl)-8-(3-methyl-1-oxobutyl)-",362,499,3866.06,1.861,1853.1
396,"4-Cyclopentene-1,3-dione",96,836,770.334,2.066,41863
1764,"3-Buten-2-one, 4-(2-hydroxy-2,6,6-trimethylcyclohexyl)-",210,786,2026.12,1.775,30037
1913,"Ethanone, 1-(2,5-dimethylphenyl)-",148,754,2152.04,2.62,231984
4925,Octocrylene,361,800,4051.46,1.591,19998
